# X Z alpha M alpha_nu logL Teff log<L> <Teff> ndom Pdom       
0.7 0.010 2.5 2.6 0.01 4.170 3624 4.170 3422  0  321.7
0.7 0.010 2.5 2.6 0.02 4.185 3611 4.185 3407  0  339.5
0.7 0.010 2.5 2.6 0.05 4.225 3576 4.225 3366  0  380.5
0.7 0.010 2.5 2.6 0.10 4.270 3536 4.270 3293  0  436.4
0.7 0.010 2.5 2.6 0.20 4.320 3491 4.320 3211  0  518.7
0.8 0.002 1.5 1.0 0.00 3.165 3716 3.173 3686  1   34.3
0.8 0.002 1.5 1.0 0.01 3.205 3684 3.216 3651  1   38.0
0.8 0.002 1.5 1.0 0.02 3.215 3675 3.228 3641  1   38.7
0.8 0.002 1.5 1.0 0.05 3.220 3672 3.227 3644  1   39.3
0.8 0.002 1.5 1.0 0.10 3.250 3647 3.256 3616  1   42.1
0.8 0.002 1.5 1.0 0.20 3.500 3435 3.500 3385  1   79.4
0.8 0.002 1.5 2.6 0.00 3.990 3513 3.990 3456  0  226.3
0.8 0.002 1.5 2.6 0.01 3.995 3509 3.996 3453  0  229.1
0.8 0.002 1.5 2.6 0.02 4.000 3505 4.000 3449  0  233.8
0.8 0.002 1.5 2.6 0.05 4.035 3475 4.035 3407  0  262.1
0.8 0.002 1.5 2.6 0.10 4.090 3429 4.090 3351  1  141.5
0.8 0.002 1.5 2.6 0.20 4.230 3312 4.230 3244  1  205.7
0.8 0.002 2.0 1.0 0.00 3.285 3987 3.289 3921  1   34.2
0.8 0.002 2.0 1.0 0.01 3.295 3979 3.300 3911  1   35.3
0.8 0.002 2.0 1.0 0.02 3.315 3964 3.319 3890  1   36.9
0.8 0.002 2.0 1.0 0.05 3.355 3933 3.356 3867  1   40.5
0.8 0.002 2.0 1.0 0.10 3.465 3849 3.463 3788  1   53.3
0.8 0.002 2.0 1.0 0.20 3.620 3728 3.620 3679  1   77.6
0.8 0.002 2.0 2.6 0.00 4.070 3812 4.069 3704  1  104.8
0.8 0.002 2.0 2.6 0.01 4.080 3804 4.080 3699  1  108.0
0.8 0.002 2.0 2.6 0.02 4.100 3788 4.100 3683  1  114.2
0.8 0.002 2.0 2.6 0.05 4.135 3761 4.135 3657  0  252.6
0.8 0.002 2.0 2.6 0.10 4.200 3710 4.200 3586  1  143.1
0.8 0.002 2.0 2.6 0.20 4.295 3636 4.295 3538  0  417.8
0.8 0.002 2.5 1.0 0.00 3.405 4163 3.402 4067  1   37.4
0.8 0.002 2.5 1.0 0.01 3.420 4150 3.417 4054  1   38.9
0.8 0.002 2.5 1.0 0.02 3.435 4137 3.431 4037  1   40.2
0.8 0.002 2.5 1.0 0.05 3.480 4099 3.475 4001  1   45.0
0.8 0.002 2.5 1.0 0.10 3.565 4029 3.562 3955  1   55.5
0.8 0.002 2.5 1.0 0.20 3.705 3919 3.705 3911  1   76.4
0.8 0.002 2.5 2.6 0.00 4.160 3994 4.159 3820  1  108.0
0.8 0.002 2.5 2.6 0.01 4.170 3987 4.170 3832  1  110.9
0.8 0.002 2.5 2.6 0.02 4.185 3975 4.185 3837  1  114.8
0.8 0.002 2.5 2.6 0.05 4.225 3945 4.225 3820  0  258.0
0.8 0.002 2.5 2.6 0.10 4.270 3910 4.270 3780  0  295.5
0.8 0.002 2.5 2.6 0.20 4.375 3832 4.375 3635  0  412.8
0.8 0.006 1.5 1.0 0.00 3.145 3394 3.157 3361  1   43.8
0.8 0.006 1.5 1.0 0.01 3.145 3394 3.155 3364  1   43.8
0.8 0.006 1.5 1.0 0.02 3.145 3394 3.154 3366  1   43.6
0.8 0.006 1.5 1.0 0.05 3.175 3367 3.182 3338  1   47.1
0.8 0.006 1.5 1.0 0.10 3.215 3330 3.220 3299  1   52.4
0.8 0.006 1.5 1.0 0.20 3.485 3074 3.485 3028  1  108.1
0.8 0.006 1.5 2.6 0.00 3.955 3189 3.956 3135  0  289.8
0.8 0.006 1.5 2.6 0.01 3.960 3184 3.961 3128  0  296.5
0.8 0.006 1.5 2.6 0.02 3.965 3180 3.967 3122  0  301.9
0.8 0.006 1.5 2.6 0.05 3.985 3162 3.985 3098  1  149.1
0.8 0.006 1.5 2.6 0.10 4.140 3020 4.140 2961  1  225.7
0.8 0.006 1.5 2.6 0.20 4.210 2958 4.210 2870  0  662.9
0.8 0.006 2.0 1.0 0.00 3.250 3708 3.251 3615  1   40.8
0.8 0.006 2.0 1.0 0.01 3.275 3686 3.274 3606  1   43.3
0.8 0.006 2.0 1.0 0.02 3.290 3673 3.288 3596  1   44.8
0.8 0.006 2.0 1.0 0.05 3.330 3638 3.328 3566  1   49.8
0.8 0.006 2.0 1.0 0.10 3.515 3471 3.514 3416  0  165.4
0.8 0.006 2.0 1.0 0.20 3.620 3374 3.620 3330  1  105.8
0.8 0.006 2.0 2.6 0.00 4.075 3488 4.075 3366  0  289.8
0.8 0.006 2.0 2.6 0.01 4.080 3483 4.080 3359  1  148.1
0.8 0.006 2.0 2.6 0.02 4.090 3475 4.090 3347  0  308.3
0.8 0.006 2.0 2.6 0.05 4.125 3443 4.125 3307  1  158.8
0.8 0.006 2.0 2.6 0.10 4.175 3397 4.175 3262  1  181.4
0.8 0.006 2.0 2.6 0.20 4.285 3297 4.284 3121  0  562.5
0.8 0.006 2.5 1.0 0.00 3.350 3899 3.346 3800  1   41.6
0.8 0.006 2.5 1.0 0.01 3.365 3887 3.361 3787  1   43.0
0.8 0.006 2.5 1.0 0.02 3.380 3875 3.376 3774  1   44.7
0.8 0.006 2.5 1.0 0.05 3.440 3827 3.435 3721  1   52.0
0.8 0.006 2.5 1.0 0.10 3.565 3728 3.563 3643  1   71.7
0.8 0.006 2.5 1.0 0.20 3.720 3600 3.720 3599  1  102.9
